"ensembl","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID","negLog10P","padj"
"ENSG00000125505",1682.58333333333,1335.85714285714,2.99723929073043,0.0195432517790528,0.0650048701366183,-2.9978106730319,"MBOAT7","79143",1.70900317284842,0.0650048701366183
"ENSG00000116251",-124.083333333333,242.571428571429,-2.99712694760772,0.0195463951221264,0.0650048701366183,-2.99791935078144,"RPL22","6146",1.70893332639736,0.0650048701366183
"ENSG00000153898",-6.58333333333333,7.42857142857143,-3.03563458526314,0.0197750061389468,0.0652734075699678,-2.99827927849735,"MCOLN2","255231",1.70388337300802,0.0652734075699678
"ENSG00000198824",-11.0833333333333,17,-3.06611091134175,0.0199397318817567,0.06555384283399,-2.9984582137415,"CHAMP1","283489",1.7002806856962,0.06555384283399
"ENSG00000145569",47.5833333333334,60.1428571428571,3.06558814693194,0.0199537601176672,0.0655845938332869,-2.99892707770343,"OTULINL","54491",1.69997525313602,0.0655845938332869
"ENSG00000008018",40.5833333333334,108.142857142857,3.06511141236489,0.0199665624028931,0.0656116173110899,-2.99935470182213,"PSMB1","5689",1.69969670017508,0.0656116173110899
"ENSG00000137764",6.66666666666667,17.8571428571429,3.0167620873691,0.0197154578074221,0.0652053146233005,-2.99953175861223,"MAP2K5","5607",1.70519313383657,0.0652053146233005
"ENSG00000166579",74.0833333333333,155,3.06439213173215,0.0199858947576337,0.065645025569444,-2.99999996576771,"NDEL1","81565",1.69927640384098,0.065645025569444
"ENSG00000144645",-5.58333333333333,4.85714285714286,-3.01624580271438,0.0197503984940375,0.0652606016213595,-3.00060489456674,"OSBPL10","114884",1.70442413740382,0.0652606016213595
"ENSG00000182500",55,91.5714285714286,3.06370471738599,0.0200043894310204,0.0656907093557856,-3.00061673188524,NA,NA,1.69887469951044,0.0656907093557856
"ENSG00000132017",16,75.8571428571429,3.02401083947193,0.0198002559214928,0.0653179350943671,-3.0007892558341,"DCAF15","90379",1.70332919637615,0.0653179350943671
"ENSG00000128311",16.5833333333333,25.8571428571429,3.06341172887184,0.0200122777870171,0.0657015510018871,-3.00087963535898,"TST","7263",1.69870347737911,0.0657015510018871
"ENSG00000162601",-34.6666666666667,37.1428571428571,-3.06317430013188,0.0200186727163275,0.0657074857902556,-3.00109269574803,"MYSM1","114803",1.69856472061713,0.0657074857902556
"ENSG00000158517",527.666666666667,594.142857142857,2.99361501436255,0.019644928488085,0.0651396849644424,-3.00131776085097,"NCF1","653361",1.70674954777794,0.0651396849644424
"ENSG00000131203",-4,3.28571428571429,-2.9932810597185,0.0196543254661925,0.0651396849644424,-3.00164102722306,"IDO1","3620",1.70654185651636,0.0651396849644424
"ENSG00000176293",-4,3.28571428571429,-2.9932810597185,0.0196543254661925,0.0651396849644424,-3.00164102722306,"ZNF135","7694",1.70654185651636,0.0651396849644424
"ENSG00000164405",25.8333333333333,39.5714285714286,3.0621073870597,0.0200474361761306,0.0657265909331413,-3.00205023530907,"UQCRQ","27089",1.69794116048792,0.0657265909331413
"ENSG00000138639",18.3333333333333,18.8571428571429,3.06173593574296,0.0200574607434905,0.0657368776277155,-3.00238365697664,"ARHGAP24","83478",1.69772404912682,0.0657368776277155
